Abbreviation,Ambiguous,Case Sensitive,Full Text,Reverse Ambiguous
HbC,FALSE,FALSE,hemoglobin C,FALSE
HbCO,FALSE,FALSE,carboxyhemoglobin,FALSE
HbF,FALSE,FALSE,fetal hemoglobin,FALSE
HbS,FALSE,FALSE,hemoglobin sickle cell,FALSE
HbSC,FALSE,FALSE,hemoglobin sickle cell C,FALSE
HBV,FALSE,FALSE,hepatitis B virus,FALSE
HC,TRUE,FALSE,head circumference|hydrocephalus,FALSE
HCA,FALSE,FALSE,healthcare assistant,FALSE
HCC,FALSE,FALSE,hepatocellular carcinoma,FALSE
HCG,FALSE,FALSE,human chorionic gonadotropin,FALSE
HCLA,FALSE,FALSE,hydrocortisone and local anesthetic,FALSE
HCM,FALSE,FALSE,hypertrophic cardiomyopathy,FALSE
HCP,FALSE,FALSE,hydrocephalus,FALSE
HCT,FALSE,FALSE,hematocrit,FALSE
HCV,FALSE,FALSE,hepatitis C virus,FALSE
HCW,FALSE,FALSE,healthcare worker,FALSE
HD,TRUE,FALSE,haemodialysis|Hashimoto disease|Hodgkin disease|Huntington disease,FALSE
HDL,FALSE,FALSE,high density lipoprotein,FALSE
HDP,FALSE,FALSE,hydroxyethylene diphosphonate,FALSE
HDU,FALSE,FALSE,high dependency unit,FALSE
HDV,FALSE,FALSE,hepatitis D virus,FALSE
He,FALSE,FALSE,helium,FALSE
HELLP,FALSE,FALSE,hemolysis elevated liver enzymes and low platelets,FALSE
HER2,FALSE,FALSE,human epidermal growth factor receptor 2,FALSE
HEV,FALSE,FALSE,hepatitis E virus,FALSE
HF,FALSE,FALSE,hemofiltration,FALSE
HFD,FALSE,FALSE,high fiber diet,FALSE
HFNP,FALSE,FALSE,high flow nasal prongs,FALSE
HFpEF,FALSE,FALSE,heart failure with preserved ejection fraction,FALSE
HFrEF,FALSE,FALSE,heart failure with reduced ejection fraction,FALSE
Hg,FALSE,FALSE,mercury,FALSE
HGG,FALSE,FALSE,high grade glioma,FALSE
HH,TRUE,FALSE,hepatic hydrothorax|hiatus hernia,FALSE
H&H,FALSE,FALSE,hemoglobin and hematocrit,FALSE
HHT,FALSE,FALSE,hereditary hemorrhagic telangiectasia,FALSE
HHV,FALSE,FALSE,human herpes virus,FALSE
HI,TRUE,FALSE,Haller index|harmonic imaging|head injury,FALSE
HIDA,FALSE,FALSE,hepatobiliary iminodiacetic acid,FALSE
HINTS,FALSE,FALSE,Head Impulse Nystagmus and Test of Skew,FALSE
HIPAA,FALSE,FALSE,Health Insurance Portability and Accountability Act 1996,FALSE
HIS,FALSE,TRUE,hospital information system,FALSE
His,FALSE,TRUE,histidine,FALSE
Histo,FALSE,FALSE,histology,FALSE
Histopath,FALSE,FALSE,histopathology,FALSE
HIT,FALSE,TRUE,heparin-induced thrombocytopenia,FALSE
HIV,FALSE,FALSE,human immunodeficiency virus,FALSE
HIVAN,FALSE,FALSE,HIV-associated nephropathy,FALSE
HL,FALSE,FALSE,Hodgkin lymphoma,FALSE
HLA,FALSE,FALSE,human leukocyte antigen,FALSE
HL7,FALSE,FALSE,health level-7,FALSE
HMB,FALSE,FALSE,heavy menstrual bleeding,FALSE
HMD,FALSE,FALSE,hyaline membrane disease,FALSE
HMG,FALSE,FALSE,human menopausal gonadotropin,FALSE
HMG-CoA reductase,FALSE,FALSE,3-hydroxy-3-methyl-glutaryl-coenzyme A reductase,FALSE
HN,FALSE,FALSE,hydronephrosis,FALSE
HNPCC,FALSE,FALSE,hereditary non-polyposis colorectal cancer,FALSE
HO,TRUE,FALSE,heterotopic ossification|house officer,FALSE
H/O,FALSE,FALSE,history of,FALSE
HOCM,TRUE,FALSE,high-osmolar contrast medium|hypertrophic obstructive cardiomyopathy,FALSE
HOD,FALSE,FALSE,hypertrophic olivary degeneration,FALSE
Hon,FALSE,FALSE,honorary,FALSE
HOP,FALSE,FALSE,head of pancreas,FALSE
HP,TRUE,FALSE,haemosuccus pancreaticus|Hartmann procedure|hypersensitivity pneumonitis,FALSE
H&P,FALSE,FALSE,history and physical examination,FALSE
HPB,FALSE,FALSE,hepatopancreaticobiliary,FALSE
HPC,FALSE,FALSE,history of presenting condition,FALSE
HPE,TRUE,FALSE,histopathological examination|holoprosencephaly,FALSE
HPF,FALSE,FALSE,high-powered field of view,FALSE
HPOA,FALSE,FALSE,hypertrophic pulmonary osteoarthropathy,FALSE
HPT,FALSE,FALSE,home pregnancy test,FALSE
HPTX,FALSE,FALSE,hemopneumothorax,FALSE
HPV,FALSE,FALSE,human papillomavirus,FALSE
HR,FALSE,FALSE,heart rate,FALSE
HRCT,FALSE,FALSE,high resolution CT,FALSE
HRT,FALSE,FALSE,hormone-replacement therapy,FALSE
HS,TRUE,FALSE,at bedtime|head strike|heart sounds,FALSE
HSC,FALSE,FALSE,hysteroscopy,FALSE
HSCT,FALSE,FALSE,haemopoietic stem cell transplant,FALSE
HSDNM,FALSE,FALSE,heart sounds dual no murmur,FALSE
HSG,FALSE,FALSE,hysterosalpingogram,FALSE
HSM,FALSE,FALSE,hepatosplenomegaly,FALSE
HSMVA,FALSE,FALSE,high speed motor vehicle accident,FALSE
HSP,FALSE,FALSE,Henoch-Schonlein purpura,FALSE
HSV,FALSE,FALSE,herpes simplex virus,FALSE
HT,TRUE,FALSE,Hashimoto thyroiditis|height|hypertension,FALSE
HTLV,FALSE,FALSE,human T-cell lymphotropic virus,FALSE
HTN,FALSE,FALSE,hypertension,FALSE
HTO,FALSE,FALSE,high tibial osteotomy,FALSE
HTX,TRUE,FALSE,hemothorax|Hashithyrotoxicosis,FALSE
HU,FALSE,FALSE,Hounsfield unit,FALSE
HUS,FALSE,FALSE,hemolytic uremic syndrome,FALSE
HV,FALSE,FALSE,hepatic vein,FALSE
Hx,FALSE,FALSE,history,FALSE
HZ,FALSE,TRUE,homozygote,FALSE
Hz,FALSE,TRUE,hertz,FALSE
I,TRUE,FALSE,coagulation factor I|iodine|isoleucine|olfactory nerve|one|segment I of the liver,FALSE
IAA,FALSE,FALSE,interrupted aortic arch,FALSE
IABP,FALSE,FALSE,intra-aortic balloon pump,FALSE
IAC,FALSE,FALSE,internal auditory canal,FALSE
IAH,FALSE,FALSE,intra-abdominal hypertension,FALSE
IAM,FALSE,FALSE,internal auditory meatus,FALSE
IAS,FALSE,FALSE,interatrial septum,FALSE
IASLC,FALSE,FALSE,International Association for the Study of Lung Cancer,FALSE
IBD,FALSE,FALSE,inflammatory bowel disease,FALSE
IBP,FALSE,FALSE,inflammatory back pain,FALSE
IBS,FALSE,FALSE,irritable bowel syndrome,FALSE
IBUS,FALSE,FALSE,intrabronchial ultrasound,FALSE
IC,FALSE,FALSE,inspiratory capacity,FALSE
ICA,FALSE,FALSE,internal carotid artery,FALSE
ICB,FALSE,FALSE,intracranial bleed,FALSE
ICC,FALSE,FALSE,intercostal catheter,FALSE
ICD,FALSE,FALSE,implantable cardioverter-defibrillator,FALSE
ICH,FALSE,FALSE,intracranial hemorrhage,FALSE
ICI,FALSE,FALSE,intracervical insemination,FALSE
ICP,FALSE,FALSE,intracranial pressure,FALSE
ICRP,FALSE,FALSE,International Commission on Radiological Protection,FALSE
ICSI,FALSE,FALSE,intracytoplasmic sperm injection,FALSE
ICU,FALSE,FALSE,intensive care unit,FALSE
ICV,FALSE,FALSE,ileocecal valve,FALSE
ID,TRUE,FALSE,identification|infectious diseases|Iselin disease,FALSE
I&D,FALSE,FALSE,incision and drainage,FALSE
IDA,FALSE,FALSE,iron deficiency anemia,FALSE
IDC,TRUE,FALSE,indwelling catheter|invasive ductal carcinoma,FALSE
IDDM,FALSE,FALSE,insulin-dependent diabetes mellitus,FALSE
IDOR,FALSE,FALSE,International Day of Radiology,FALSE
IE,TRUE,FALSE,infective endocarditis|that is,FALSE
IEM,FALSE,FALSE,inborn errors of metabolism,FALSE
IEP:,TRUE,FALSE,image exchange portal|interstitial edematous pancreatitis,FALSE
IF,TRUE,FALSE,immunofluorescence|incidental finding|index finger,FALSE
IFFI,FALSE,FALSE,intraperitoneal focal fat infarction,FALSE
IFI,FALSE,FALSE,invasive fungal infection,FALSE
Ig,FALSE,FALSE,immunoglobulin,FALSE
IGHL,FALSE,FALSE,inferior glenohumeral ligament,FALSE
IGS,FALSE,FALSE,image-guided surgery,FALSE
IGTT,FALSE,FALSE,insulin and glucose tolerance test,FALSE
IH,FALSE,FALSE,inguinal hernia,FALSE
IHD,TRUE,FALSE,intrahepatic duct|ischemic heart disease,FALSE
IHE,FALSE,FALSE,integrating the healthcare enterprise,FALSE
IHT,FALSE,FALSE,interhospital transfer,FALSE
II,TRUE,FALSE,coagulation factor II|optic nerve|segment II of the liver|two,FALSE
IIA,FALSE,FALSE,internal iliac artery,FALSE
IIH,TRUE,FALSE,idiopathic intracranial hypertension|indirect inguinal hernia,FALSE
III,TRUE,FALSE,coagulation factor III|oculomotor nerve|segment III of the liver|three,FALSE
IIP,FALSE,FALSE,idiopathic interstitial pneumonia,FALSE
IIV,FALSE,FALSE,internal iliac vein,FALSE
IJV,FALSE,FALSE,internal jugular vein,FALSE
ILC,FALSE,FALSE,invasive lobular carcinoma,FALSE
ILD,FALSE,FALSE,interstitial lung disease,FALSE
Ile,FALSE,FALSE,isoleucine,FALSE
ILI,TRUE,FALSE,influenza-like illness|inhalational lung injury,FALSE
ILR,FALSE,FALSE,implantable loop recorder,FALSE
ILS,FALSE,FALSE,immediate life support,FALSE
IM,FALSE,FALSE,intramuscular,FALSE
IMA,TRUE,FALSE,inferior mesenteric artery|internal mammary artery|intermetatarsal angle,FALSE
IMG,FALSE,FALSE,international medical graduate,FALSE
IMP,FALSE,FALSE,impression,FALSE
In,TRUE,FALSE,inch|indium,FALSE
INH,FALSE,FALSE,isoniazid,FALSE
INN,FALSE,FALSE,International Nonproprietary Name,FALSE
INO,FALSE,FALSE,internuclear ophthalmoplegia,FALSE
iNPH,FALSE,FALSE,idiopathic normal pressure hydrocephalus,FALSE
INR,TRUE,FALSE,international normalized ratio|interventional neuroradiology,FALSE
Insp,FALSE,FALSE,inspiratory,FALSE
INX,FALSE,FALSE,infliximab,FALSE
IOC,FALSE,FALSE,intraoperative cholangiogram,FALSE
IOF,FALSE,FALSE,inferior orbital fissure,FALSE
IOFB,FALSE,FALSE,intraocular foreign body,FALSE
IOL,FALSE,FALSE,intraocular lens implant,FALSE
IOP,FALSE,FALSE,interstitial edematous pancreatitis,FALSE
IOR,FALSE,FALSE,immature oocyte retrieval,FALSE
IOV,FALSE,FALSE,inferior ophthalmic vein,FALSE
IP,TRUE,FALSE,inpatient|in-phase,FALSE
IPAA,FALSE,FALSE,ileal pouch - anal anastomosis,FALSE
IPF,FALSE,FALSE,idiopathic pulmonary fibrosis,FALSE
IPMN,FALSE,FALSE,intraductal papillary mucinous neoplasm,FALSE
IPMT,FALSE,FALSE,intraductal papillary mucinous tumor,FALSE
IPS,FALSE,FALSE,idiopathic pulmonary syndrome,FALSE
IPV,FALSE,FALSE,inactivated polio vaccine,FALSE
IQ,FALSE,FALSE,intelligence quotient,FALSE
IR,TRUE,FALSE,infrared|interventional radiology|inversion recovery,FALSE
IRA,FALSE,FALSE,ileorectal anastomosis,FALSE
IRDS,FALSE,FALSE,infant respiratory distress syndrome,FALSE
IRIS,FALSE,FALSE,immune reconstitution inflammatory syndrome,FALSE
IRR,FALSE,FALSE,Ionizing Radiation Regulations,FALSE
IRR,FALSE,FALSE,Ionizing Radiation Regulations,FALSE
IRV,FALSE,FALSE,inspiratory reserve volume,FALSE
ISQ,FALSE,FALSE,in status quo,FALSE
ISS,TRUE,FALSE,inferior sagittal sinus|international staging system,FALSE
ISUP,FALSE,FALSE,International Society of Urological Pathology,FALSE
IT,FALSE,FALSE,information technology,FALSE
ITA,FALSE,FALSE,internal thoracic artery,FALSE
ITB,FALSE,FALSE,iliotibial band,FALSE
ITI,FALSE,FALSE,intratubal insemination,FALSE
ITN,FALSE,FALSE,incidental thyroid nodules,FALSE
ITU,FALSE,FALSE,intensive therapy unit,FALSE
IU,FALSE,FALSE,international unit,FALSE
IUCD,FALSE,FALSE,intrauterine contraceptive device,FALSE
IUD,TRUE,FALSE,intrauterine death|intrauterine device,FALSE
IUGR,FALSE,FALSE,intrauterine growth restriction,FALSE
IUI,FALSE,FALSE,intrauterine insemination,FALSE
IUO,FALSE,FALSE,inflammation of unknown origin,FALSE
IV,TRUE,FALSE,four|intervertebral|intravenous|segment four of the liver|trochlear nerve,FALSE
IVC,TRUE,FALSE,inferior vena cava|inspiratory vital capacity|intravenous cannula|intravenous cholangiogram,FALSE
IVD,FALSE,FALSE,intervertebral disc,FALSE
IVDA,FALSE,FALSE,intravenous drug abuser,FALSE
IVDU,FALSE,FALSE,intravenous drug user,FALSE
IVF,TRUE,FALSE,intravenous fluid|in vitro fertilisation,FALSE
IVF/ET,FALSE,FALSE,in vitro fertilisation and embryo transfer,FALSE
IVIg,FALSE,FALSE,intravenous immunoglobulin,FALSE
IVH,FALSE,FALSE,intraventricular hemorrhage,FALSE
IVL,FALSE,FALSE,intravascular lymphoma,FALSE
IVMP,FALSE,FALSE,intravenous pulse methylprednisolone,FALSE
IVP,FALSE,FALSE,intravenous pyelogram,FALSE
IVS,FALSE,FALSE,interventricular septum,FALSE
IVU,FALSE,FALSE,intravenous urography,FALSE
IVUS,FALSE,FALSE,intravascular ultrasound,FALSE
IX,TRUE,TRUE,coagulation factor IX|glossopharyngeal nerve|investigation|nine,FALSE
Ix,FALSE,TRUE,investigation,FALSE
J,TRUE,FALSE,joule|joint,FALSE
JAK2,FALSE,FALSE,janus kinase 2,FALSE
JC virus,FALSE,FALSE,John Cunningham virus,FALSE
JE,FALSE,FALSE,Japanese encephalitis,FALSE
JEV,FALSE,FALSE,Japanese encephalitis virus,FALSE
JNA,FALSE,FALSE,juvenile nasopharyngeal angiofibroma,FALSE
JIA,FALSE,FALSE,juvenile idiopathic arthritis,FALSE
JLS,FALSE,FALSE,Jarcho-Levin syndrome,FALSE
JPA,FALSE,FALSE,juvenile pilocytic astrocytoma,FALSE
JPEG,FALSE,FALSE,joint photographic experts group,FALSE
JRA,FALSE,FALSE,juvenile rheumatoid arthritis,FALSE
JVP,FALSE,FALSE,jugular venous pressure,FALSE
JVPNE,FALSE,FALSE,jugular venous pressure not elevated,FALSE
JZ,FALSE,FALSE,junctional zone,FALSE
K,TRUE,FALSE,kelvin|potassium|kilo|vitamin|lysine|Kirschner wire,FALSE
KB,FALSE,FALSE,kilobyte,FALSE
KCOT,FALSE,FALSE,keratocystic odontic tumor,FALSE
Kerma,FALSE,FALSE,kinetic energy released per unit mass,FALSE
KFD,FALSE,FALSE,Kikuchi-Fujimoto disease,FALSE
KG,FALSE,FALSE,kilogram,FALSE
KOT,FALSE,FALSE,keratocystic odontic tumor,FALSE
Kr,FALSE,FALSE,krypton,FALSE
KUB,FALSE,FALSE,kidneys ureters and bladder,FALSE
kV,FALSE,FALSE,kilovolt,FALSE
kVp,FALSE,FALSE,peak kilovoltage,FALSE
L,TRUE,FALSE,fifty|Latin|left|length|leucine|liter|lumbar,FALSE
LA,TRUE,TRUE,left atrium|left auricle|local anesthesia,FALSE
La,FALSE,TRUE,lanthanum,FALSE
LAD,TRUE,FALSE,left anterior descending artery|left axis deviation|lymphadenopathy,FALSE
LAE,FALSE,FALSE,left atrial enlargement,FALSE
LAGB,FALSE,FALSE,laparoscopic adjustable gastric banding,FALSE
LAO,FALSE,FALSE,left anterior oblique,FALSE
LAP,FALSE,FALSE,laparoscopy,FALSE
LAR,FALSE,FALSE,low anterior resection,FALSE
LARC,FALSE,FALSE,long-acting reversible contraceptive,FALSE
LAS,TRUE,FALSE,levator ani syndrome|London ambulance service,FALSE
LASH,FALSE,FALSE,laparoscopic-assisted supracervical hysterectomy,FALSE
LAUP,FALSE,FALSE,laser-assisted uvulopalatoplasty,FALSE
LAVH,FALSE,FALSE,laparoscopic-assisted vaginal hysterectomy,FALSE
LAZ,FALSE,FALSE,left apical zone,FALSE
LB,FALSE,TRUE,loose body,FALSE
lb,FALSE,TRUE,pound,FALSE
LBBB,FALSE,FALSE,left bundle branch block,FALSE
LBO,FALSE,FALSE,large bowel obstruction,FALSE
LBP,TRUE,FALSE,low blood pressure|lower back pain|lumbar back pain,FALSE
LBSL,FALSE,FALSE,leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation,FALSE
LC,FALSE,FALSE,lymphangitis carcinomatosis,FALSE
LCA,TRUE,FALSE,left colic artery|left coronary artery,FALSE
LCCA,FALSE,FALSE,left common carotid artery,FALSE
LCD,FALSE,FALSE,liquid crystal display,FALSE
LCH,FALSE,FALSE,Langerhans cell histiocytosis,FALSE
LCIS,FALSE,FALSE,lobular carcinoma in situ,FALSE
LCL,TRUE,FALSE,lateral collateral ligament|lateral collateral ligament,FALSE
LCRD,FALSE,FALSE,localized cystic renal disease,FALSE
LCx,FALSE,FALSE,left circumflex artery,FALSE
LD,TRUE,FALSE,lactate dehydrogenase|learning difficulties|lethal dose,FALSE
LDH,FALSE,FALSE,lactate dehydrogenase,FALSE
LDL,FALSE,FALSE,low-density lipoprotein,FALSE
LE,FALSE,FALSE,left eye,FALSE
LED,FALSE,FALSE,light-emitting diode,FALSE
LEOPARD syndrome,FALSE,FALSE,lentigines ECG conduction abnormalities ocular hyperteloris pulmonary stenosis abnormal genitals retardation of growth deafness,FALSE
LESA,FALSE,FALSE,large endolymphatic sac anomaly,FALSE
Leu,FALSE,FALSE,leucine,FALSE
LF,FALSE,FALSE,little finger,FALSE
LFC,FALSE,FALSE,lateral femoral condyle,FALSE
LFT,TRUE,FALSE,left ventricular false tendon|liver function tests,FALSE
LFTs,FALSE,FALSE,liver function tests,FALSE
LGA,FALSE,FALSE,left gastric artery,FALSE
LGB,FALSE,FALSE,laparoscopic gastric banding,FALSE
LGG,FALSE,FALSE,low-grade glioma,FALSE
LGIB,FALSE,FALSE,lower gastrointestinal bleeding,FALSE
LGMD,FALSE,FALSE,limb-girdle muscular dystrophy,FALSE
LGN,FALSE,FALSE,lateral geniculate nucleus,FALSE
LH,FALSE,FALSE,luteinising hormone,FALSE
LHA,FALSE,FALSE,left hepatic artery,FALSE
LHD,TRUE,FALSE,left hand dominant|left hepatic duct,FALSE
LHV,FALSE,FALSE,left hepatic vein,FALSE
LHS: ,TRUE,FALSE,left hand side|left heart strain,FALSE
LIF,FALSE,FALSE,left iliac fossa,FALSE
LIH,FALSE,FALSE,left inguinal hernia,FALSE
LIMA,FALSE,FALSE,left internal mammary artery,FALSE
LIP,FALSE,FALSE,lymphoid interstitial pneumonia,FALSE
LIQ,FALSE,FALSE,lower inner quadrant,FALSE
LI-RADS,FALSE,FALSE,liver imaging reporting and data system,FALSE
LITA,FALSE,FALSE,left internal thoracic artery,FALSE
LK,FALSE,FALSE,left kidney,FALSE
LKMP,FALSE,FALSE,last known menstrual period,FALSE
LL,FALSE,FALSE,lower limb,FALSE
LLC,FALSE,FALSE,low-level care,FALSE
LLETZ,FALSE,FALSE,large loop excision of the transformation zone,FALSE
LLL,TRUE,FALSE,left lobe of liver|left lower lobe,FALSE
LLQ,FALSE,FALSE,left lower quadrant,FALSE
LLZ,FALSE,FALSE,left lower zone,FALSE
LM,FALSE,TRUE,lateral meniscus,FALSE
Lm,FALSE,TRUE,lumen,FALSE
LMA,FALSE,FALSE,laryngeal mask airway,FALSE
LMB,FALSE,FALSE,left main bronchus,FALSE
LMCA,FALSE,FALSE,left main coronary artery,FALSE
LMO,FALSE,FALSE,lateromedial oblique,FALSE
LMP,FALSE,FALSE,last menstrual period,FALSE
LMWH,FALSE,FALSE,low molecular weight heparin,FALSE
LN,FALSE,FALSE,lymph node,FALSE
LNT,FALSE,FALSE,linear no-threshold theory,FALSE
LO,FALSE,FALSE,left ovary,FALSE
LOA,TRUE,FALSE,loss of appetite|left occipitoanterior,FALSE
LOC,TRUE,FALSE,level of consciousness|loss of consciousness,FALSE
LOCM,FALSE,FALSE,low-osmolar contrast medium,FALSE
LOLOL,FALSE,FALSE,little old lady off legs,FALSE
LOP,FALSE,FALSE,left occipitoposterior,FALSE
LOQ,FALSE,FALSE,lower outer quadrant,FALSE
LES,FALSE,FALSE,late-onset sepsis,FALSE
LOT,FALSE,FALSE,left occipitotransverse,FALSE
LOV,FALSE,FALSE,loss of vision,FALSE
LOW,FALSE,TRUE,loss of weight,FALSE
LP,TRUE,FALSE,line pair|lumbar puncture,FALSE
LPA,FALSE,FALSE,left pulmonary artery,FALSE
LPD,FALSE,FALSE,lymphoproliferative disease,FALSE
LPF,FALSE,FALSE,low-powered field of view,FALSE
LPM,FALSE,FALSE,lymphoplasmacyte-rich meningioma,FALSE
LP/mm,FALSE,FALSE,line pairs per millimeter,FALSE
LR,FALSE,TRUE,likelihood ratio,FALSE
Lr,FALSE,TRUE,lawrencium,FALSE
LRA,FALSE,FALSE,left renal artery,FALSE
LRP,FALSE,FALSE,laparoscopic radical prostatectomy,FALSE
LRTI,FALSE,FALSE,lower respiratory tract infection,FALSE
LS:,TRUE,FALSE,longitudinal section|lumbosacral,FALSE
LSCA,FALSE,FALSE,left subclavian artery,FALSE
LSCC,FALSE,FALSE,lateral semicircular canal,FALSE
LSCS,FALSE,FALSE,lower segment cesarian section,FALSE
LSD,TRUE,FALSE,lysergic acid diethylamide|lysosomal storage disease,FALSE
LSP,FALSE,FALSE,low sperm count,FALSE
LSMFT,FALSE,FALSE,liposclerosing myxofibrous tumor,FALSE
LSTV,FALSE,FALSE,lumbosacral transitional vertebra,FALSE
LT,TRUE,FALSE,laryngeal tube|left|leukotriene,FALSE
Lu,FALSE,FALSE,lutetium,FALSE
LUL,FALSE,FALSE,left upper lobe,FALSE
LUO,FALSE,FALSE,left ureteric orifice,FALSE
LUQ,FALSE,FALSE,left upper quadrant,FALSE
LURD,FALSE,FALSE,living unrelated donor,FALSE
LUS,FALSE,FALSE,lower uterine segment,FALSE
LUSCS,FALSE,FALSE,lower uterine segment cesarian section,FALSE
LUTS,FALSE,FALSE,lower urinary tract symptoms,FALSE
LUZ,FALSE,FALSE,left upper zone,FALSE
LV,FALSE,FALSE,left ventricle,FALSE
LVA,TRUE,FALSE,left ventricular aneurysm|left vertebral artery,FALSE
LVAD,FALSE,FALSE,left ventricular assist device,FALSE
LVD,FALSE,FALSE,left ventricular dilatation,FALSE
LVEF,FALSE,FALSE,left ventricular ejection fraction,FALSE
LVF,TRUE,FALSE,left ventricular failure|left ventricular function,FALSE
LVH,FALSE,FALSE,left ventricular hypertrophy,FALSE
LVMI,FALSE,FALSE,left ventricular mass index,FALSE
LWOT,FALSE,FALSE,left without treatment,FALSE
LWT,FALSE,FALSE,left without treatment,FALSE
Lx,TRUE,FALSE,lux|lymphadenopathy,FALSE
Ly,FALSE,FALSE,lymphoma,FALSE
Lys,FALSE,FALSE,lysine,FALSE
Lytes,FALSE,FALSE,electrolytes,FALSE
LZ,FALSE,FALSE,lower zone,FALSE
M,TRUE,TRUE,male|marginal artery|mega|metastable|metastatic|methionine|meter|mitotic|molar|motor,FALSE
m,FALSE,TRUE,milli-,FALSE
M1-M6,FALSE,FALSE,segments of middle cerebral artery,FALSE
MAC,TRUE,FALSE,mastoid air cells|mitral annular calcification|Mycobacterium avium complex,FALSE
MAG,FALSE,FALSE,magnification,FALSE
MAG-3,FALSE,FALSE,mercaptoacetyltriglycine,FALSE
MAGiC,FALSE,FALSE,magnetic resonance image compilation,FALSE
MAI:,TRUE,FALSE,minimal aortic injury|miscarriage after infertility|_Mycobacterium avium-intracellulare_ infection,FALSE
MAL,FALSE,FALSE,mid axillary line,FALSE
MAM,FALSE,FALSE,mammogram,FALSE
MAMMO,FALSE,FALSE,mammogram,FALSE
MAO,FALSE,FALSE,monoamine oxidase,FALSE
MAP,TRUE,TRUE,magnesium ammonium phosphate|mean arterial pressure,FALSE
mAs,FALSE,FALSE,milliampere-seconds,FALSE
MAVRIC,FALSE,FALSE,multiacquisition variable-resonance image combination,FALSE
MAVRIC-SL,FALSE,FALSE,multiacquisition variable-resonance image combination,FALSE
Maxfax,FALSE,FALSE,maxillofacial surgery,FALSE
MB,TRUE,FALSE,bachelor of medicine|megabyte|multiband|myoglobin,FALSE
MBA,FALSE,FALSE,motorbike accident,FALSE
MBBS,FALSE,FALSE,bachelor of medicine and bachelor of surgery,FALSE
MBC,FALSE,TRUE,motorbike collision,FALSE
mBC,FALSE,TRUE,metastatic breast cancer,FALSE
MBL,FALSE,FALSE,monoclonal B-cell lymphoma,FALSE
MBq,FALSE,FALSE,megabecquerel,FALSE
MC,TRUE,FALSE,metacarpal|miscarriage,FALSE
M/C,TRUE,FALSE,miscarriage|motorcycle,FALSE
MCA,TRUE,FALSE,middle cerebral artery|middle colic artery,FALSE
MCD,FALSE,FALSE,molybdenum cofactor deficiency,FALSE
MCG/mcg,FALSE,FALSE,microgram,FALSE
MCI,FALSE,TRUE,mass casualty incident,FALSE
mCi,FALSE,TRUE,millicurie,FALSE
MCL,TRUE,FALSE,medial collateral ligament|medial collateral ligament|mid clavicular line,FALSE
MCPJ,FALSE,FALSE,metacarpophalangeal joint,FALSE
mCRC,FALSE,FALSE,metastatic colorectal cancer,FALSE
MCS,FALSE,FALSE,microscopy culture and sensitivity,FALSE
MCTD,FALSE,FALSE,mixed connective tissue disease,FALSE
MCV,FALSE,FALSE,middle cardiac vein,FALSE
MD,TRUE,TRUE,doctor of medicine|managing director|Meckel diverticulum|medical director|muscular dystrophy,FALSE
Md,FALSE,TRUE,mendelevium,FALSE
MDA criteria,FALSE,FALSE,MD Anderson criteria for assessing response of bone metastases to treatment,FALSE
MDCT,FALSE,FALSE,multidetector CT,FALSE
MDD,FALSE,FALSE,major depressive disorder,FALSE
MDI,FALSE,FALSE,multidirectional instability,FALSE
MD-IPMN,FALSE,FALSE,main duct type intraductal papillary mucinous neoplasm,FALSE
MDM,FALSE,FALSE,multidisciplinary meeting,FALSE
MDMA,FALSE,FALSE,34-methylenedioxymethamphetamine,FALSE
MDP,FALSE,FALSE,methylene-diphosphonate,FALSE
MDR-TB,FALSE,FALSE,multidrug-resistant tuberculosis,FALSE
MDT,FALSE,FALSE,multidisciplinary team,FALSE
MDTM,FALSE,FALSE,multidisciplinary team meeting,FALSE
ME,TRUE,FALSE,medical examiner|middle ear,FALSE
MEB,FALSE,FALSE,muscle-eye-brain disease,FALSE
MEDIC,FALSE,FALSE,multiecho data image combination,FALSE
MEDS,FALSE,FALSE,medication,FALSE
MEG,FALSE,FALSE,megalencephaly,FALSE
MELAS,FALSE,FALSE,mitochondrial encephalopathy with lactic acidosis and stroke-like episodes,FALSE
MELD,FALSE,FALSE,model of end-stage liver disease,FALSE
MEN,FALSE,FALSE,multiple endocrine neoplasia,FALSE
MERGE,FALSE,FALSE,multiple-echo recombined gradient echo,FALSE
MERRF,FALSE,FALSE,myoclonic epilepsy with red ragged fibers,FALSE
MESA,TRUE,FALSE,microsurgical epididymal sperm aspiration|multiethnic study of atherosclerosis,FALSE
MET,TRUE,TRUE,medical expulsive therapy|metabolic equivalent|metastasis,FALSE
Met,TRUE,TRUE,metastasis|methionine,FALSE
MetHb,FALSE,FALSE,methemoglobin,FALSE
Mets,FALSE,FALSE,metastases,FALSE
MF,FALSE,FALSE,middle finger,FALSE
MFC,FALSE,FALSE,medial femoral condyle,FALSE
MFFE,FALSE,FALSE,multiecho fast field echo,FALSE
MFH,FALSE,FALSE,malignant fibrous histiocytoma,FALSE
MG,TRUE,TRUE,mammogram|middle grade|milligram|myasthenia gravis,FALSE
Mg,FALSE,TRUE,magnesium,FALSE
MGHL,FALSE,FALSE,middle glenohumeral ligament,FALSE
mGy,FALSE,FALSE,milligray,FALSE
